Wetland,asset_precip_3m,subwetland,year,asset_precip_3m_scaled,asset_precip_3m_scaled_lagged,asset_precip,asset_precip_annual_scaled,asset_precip_annual_scaled_lagged
Booligal Wetlands,12010.109501247312,,2025,-0.23504793284624176,-0.9177326857127018,42422.09375269285,-0.7998779851015633,1.212216891662016
Burrendong Dam,1829.778508448367,,1982,0.31147904228813184,NA,4801.7623172488875,-1.5285904994477233,NA
Burrendong Dam,545.1899155700908,,1983,-1.5541282018589084,0.31147904228813184,6142.7326121246115,-0.5524023246744127,-1.5285904994477233
Burrendong Dam,1508.2434031121875,,1984,-0.1554861986367491,-1.5541282018589084,9613.229583645569,1.974020607385629,-0.5524023246744127
Burrendong Dam,2748.467735597199,,1985,1.6456908567091808,-0.1554861986367491,5451.244873499403,-1.0557857001497246,1.974020607385629
Burrendong Dam,2174.7467309858284,,1986,0.8124761852912535,1.6456908567091808,6182.30140693889,-0.5235973692362984,-1.0557857001497246
Burrendong Dam,1906.0836466976236,,1987,0.42229694887135183,0.8124761852912535,6294.181059799008,-0.44215216904272386,-0.5235973692362984
Burrendong Dam,1293.3706680713917,,1988,-0.46754574305758395,0.42229694887135183,7431.591557872996,0.3858502724175844,-0.44215216904272386
Burrendong Dam,1998.4297063088886,,1989,0.5564110759423333,-0.46754574305758395,6675.069168907989,-0.16487647587875848,0.3858502724175844
Burrendong Dam,1159.2258128956253,,1990,-0.6623642358952201,0.5564110759423333,9233.765442797716,1.6977815225515254,-0.16487647587875848
Burrendong Dam,2314.052440951852,,1991,1.0147897844501452,-0.6623642358952201,5706.488770281101,-0.8699754143637558,1.6977815225515254
Burrendong Dam,1610.4537445722842,,1992,-0.007046180944043506,1.0147897844501452,6428.469375521529,-0.34439410063547454,-0.8699754143637558
Burrendong Dam,1434.4492013412364,,1993,-0.26265747367622777,-0.007046180944043506,7933.442542924134,0.7511834934272712,-0.34439410063547454
Burrendong Dam,2392.077752158688,,1994,1.1281058971895126,-0.26265747367622777,5454.252701943061,-1.0535960867260226,0.7511834934272712
Burrendong Dam,795.0136459813398,,1995,-1.1913093477923544,1.1281058971895126,6518.727611410384,-0.2786886760729075,-1.0535960867260226
Burrendong Dam,1301.022491053039,,1996,-0.4564330051237165,-1.1913093477923544,7755.63068617302,0.6217415269957853,-0.2786886760729075
Burrendong Dam,2765.177611698824,,1997,1.6699585997646769,-0.4564330051237165,6477.923328513492,-0.30839303164011433,0.6217415269957853
Burrendong Dam,1391.1916753418304,,1998,-0.32548035277991744,1.6699585997646769,8330.251466891345,1.0400490862756289,-0.30839303164011433
Burrendong Dam,3219.6607780634185,,1999,2.330004230103709,-0.32548035277991744,5947.9879891325445,-0.6941708625696991,1.0400490862756289
Burrendong Dam,1511.0201725515662,,2000,-0.15145349804283836,2.330004230103709,8613.75389774874,1.246430779874685,-0.6941708625696991
Burrendong Dam,1689.1805477969783,,2001,0.10728870823276329,-0.15145349804283836,7619.6797287866175,0.5227731028205013,1.246430779874685
Burrendong Dam,1415.9047325695262,,2002,-0.28958959456782235,0.10728870823276329,5621.917248923872,-0.93154107274336,0.5227731028205013
Burrendong Dam,682.2305167866688,,2003,-1.3551042187803513,-0.28958959456782235,5985.950053010737,-0.6665355614825,-0.93154107274336
Burrendong Dam,1739.8024696476318,,2004,0.18080689502096986,-1.3551042187803513,6061.661118923917,-0.6114200622605147,-0.6665355614825
Burrendong Dam,1538.030604611191,,2005,-0.11222626373814128,0.18080689502096986,6771.530007777026,-0.0946557330386682,-0.6114200622605147
Burrendong Dam,1950.003054902133,,2006,0.4860810791051377,-0.11222626373814128,5793.025835520146,-0.8069788960301629,-0.0946557330386682
Burrendong Dam,1046.7161800234924,,2007,-0.8257619083377812,0.4860810791051377,5363.454020181358,-1.1196949404884722,-0.8069788960301629
Burrendong Dam,767.5583160255469,,2008,-1.2311827070452244,-0.8257619083377812,7140.910956998432,0.17424307552882123,-1.1196949404884722
Burrendong Dam,1720.3317967830922,,2009,0.1525296484800266,-1.2311827070452244,6210.641471666448,-0.5029666094312009,0.17424307552882123
Burrendong Dam,1114.5189673680884,,2010,-0.7272919608816731,0.1525296484800266,8732.237511885867,1.3326834757524757,-0.5029666094312009
Burrendong Dam,2713.6415106679883,,2011,1.595112751100558,-0.7272919608816731,8725.95877200856,1.3281127319827393,1.3326834757524757
Burrendong Dam,1792.4294157855652,,2012,0.257236977380862,1.595112751100558,8355.623581317359,1.0585192628084847,1.3281127319827393
Burrendong Dam,1348.5634165530112,,2013,-0.3873893474905156,0.257236977380862,5861.960205518965,-0.7567966383877355,1.0585192628084847
Burrendong Dam,1160.9421437431783,,2014,-0.6598716096331624,-0.3873893474905156,5923.6037769850545,-0.7119218743859224,-0.7567966383877355
Burrendong Dam,953.1892163907781,,2015,-0.961591061611916,-0.6598716096331624,6202.26097703541,-0.509067370789474,-0.7119218743859224
Burrendong Dam,1203.001647134388,,2016,-0.5987886180459073,-0.961591061611916,8561.772374892234,1.2085897120202087,-0.509067370789474
