"year","inundated_area","valley_name","valley_surface_water","valley_surface_water_lagged"
2020,126561600,"loddon",-0.43505321787102,-0.441296345975994
2021,140370300,"loddon",-0.282280786428241,-0.43505321787102
2022,394188300,"loddon",2.52583243233553,-0.282280786428241
2023,205007400,"loddon",0.432831202999443,2.52583243233553
2024,153610200,"loddon",-0.135801268801002,0.432831202999443
1987,1416758400,"lower murray",-0.79404032707322,NA
1988,1568193300,"lower murray",-0.288979527129949,-0.79404032707322
1989,1953493200,"lower murray",0.996060286757489,-0.288979527129949
1990,2153901600,"lower murray",1.66445592619959,0.996060286757489
1991,1539369000,"lower murray",-0.385113403903432,1.66445592619959
1992,1852691400,"lower murray",0.659869370768363,-0.385113403903432
1993,2054563200,"lower murray",1.33314569474644,0.659869370768363
1994,1542938400,"lower murray",-0.373208856013101,1.33314569474644
1995,1618862400,"lower murray",-0.119989577135557,-0.373208856013101
1996,1455561000,"lower murray",-0.664627145594718,-0.119989577135557
1997,1507032000,"lower murray",-0.492962724553861,-0.664627145594718
1998,1540431900,"lower murray",-0.381568454065187,-0.492962724553861
1999,1547379000,"lower murray",-0.358398709948831,-0.381568454065187
2000,1582855200,"lower murray",-0.240079630589004,-0.358398709948831
2001,1512181800,"lower murray",-0.475787277496757,-0.240079630589004
2002,1455739200,"lower murray",-0.664032818695504,-0.475787277496757
2003,1536378300,"lower murray",-0.395087890196819,-0.664032818695504
2004,1515113100,"lower murray",-0.466010900169775,-0.395087890196819
2005,1566993600,"lower murray",-0.292980727921126,-0.466010900169775
2006,1490166000,"lower murray",-0.54921366440883,-0.292980727921126
2007,1472523300,"lower murray",-0.608055029082093,-0.54921366440883
2008,1304095500,"lower murray",-1.1697900016722,-0.608055029082093
2009,1349012700,"lower murray",-1.01998360325802,-1.1697900016722
2010,2077317900,"lower murray",1.40903643713455,-1.01998360325802
2011,1895517000,"lower murray",0.802699932244288,1.40903643713455
2012,1613873700,"lower murray",-0.136627728662563,0.802699932244288
2013,1603124100,"lower murray",-0.172479448279839,-0.136627728662563
2014,1610417700,"lower murray",-0.148154068526122,-0.172479448279839
2015,1561556700,"lower murray",-0.311113701649188,-0.148154068526122
2016,1816510500,"lower murray",0.539199998670732,-0.311113701649188
2017,1606277700,"lower murray",-0.161961663154342,0.539199998670732
2018,1528825500,"lower murray",-0.420277745440303,-0.161961663154342
2019,1520781300,"lower murray",-0.447106502133137,-0.420277745440303
2020,1561447800,"lower murray",-0.31147690142093,-0.447106502133137
2021,1642929300,"lower murray",-0.0397224275805028,-0.31147690142093
2022,3029311800,"lower murray",4.58409582354492,-0.0397224275805028
2023,1729308600,"lower murray",0.248367031035311,4.58409582354492
2024,1550466900,"lower murray",-0.348100045346782,0.248367031035311
1987,118549800,"macquarie",-0.475466019774032,NA
1988,209112300,"macquarie",-0.324756187616428,-0.475466019774032
1989,534841200,"macquarie",0.217306452525807,-0.324756187616428
1990,1485016200,"macquarie",1.79854277849242,0.217306452525807
1991,221675400,"macquarie",-0.303849270378286,1.79854277849242
1992,161039700,"macquarie",-0.404756336434974,-0.303849270378286
1993,189323100,"macquarie",-0.357688438940466,-0.404756336434974
1994,182412900,"macquarie",-0.369188067177049,-0.357688438940466
1995,120997800,"macquarie",-0.471392173876206,-0.369188067177049
1996,283336200,"macquarie",-0.201236281351883,-0.471392173876206
1997,123552000,"macquarie",-0.467141594957814,-0.201236281351883
