"year","inundated_area","wetland_name","wetland_surface_water","wetland_surface_water_lagged"
1997,36432900,"mulwala",-0.655534470410057,1.34790312419168
1998,36840600,"mulwala",0.570894219258301,-0.655534470410057
1999,37108800,"mulwala",1.37768395330062,0.570894219258301
2000,36871200,"mulwala",0.662944054685948,1.37768395330062
2001,36828000,"mulwala",0.532991345846916,0.662944054685948
2002,36665100,"mulwala",0.0429613395997361,0.532991345846916
2003,37008000,"mulwala",1.07446096600955,0.0429613395997361
2004,36958500,"mulwala",0.925556820464823,1.07446096600955
2005,36976500,"mulwala",0.979703782481086,0.925556820464823
2006,36926100,"mulwala",0.82809228883555,0.979703782481086
2007,36404100,"mulwala",-0.742169609636078,0.82809228883555
2008,35959500,"mulwala",-2.07959957143777,-0.742169609636078
2009,36322200,"mulwala",-0.988538286810075,-2.07959957143777
2010,36687600,"mulwala",0.110645042120065,-0.988538286810075
2011,36379800,"mulwala",-0.815268008358033,0.110645042120065
2012,36321300,"mulwala",-0.991245634910888,-0.815268008358033
2013,36720900,"mulwala",0.210816921850151,-0.991245634910888
2014,36630000,"mulwala",-0.0626252363319768,0.210816921850151
2015,36698400,"mulwala",0.143133219329823,-0.0626252363319768
2016,36885600,"mulwala",0.706261624298958,0.143133219329823
2017,36414900,"mulwala",-0.70968143242632,0.706261624298958
2018,36333900,"mulwala",-0.953342761499504,-0.70968143242632
2019,36484200,"mulwala",-0.501215628663707,-0.953342761499504
2020,36633600,"mulwala",-0.0517958439287242,-0.501215628663707
2021,36283500,"mulwala",-1.10495425514504,-0.0517958439287242
2022,36285300,"mulwala",-1.09953955894341,-1.10495425514504
2023,36147600,"mulwala",-1.51376381836783,-1.09953955894341
2024,35961300,"mulwala",-2.07418487523615,-1.51376381836783
1987,74587500,"lowbidgee floodplain",-0.364649304313192,NA
1988,126074700,"lowbidgee floodplain",-0.0909119977448215,-0.364649304313192
1989,319248900,"lowbidgee floodplain",0.936119676273181,-0.0909119977448215
1990,301330800,"lowbidgee floodplain",0.840856146059405,0.936119676273181
1991,112625100,"lowbidgee floodplain",-0.16241826101845,0.840856146059405
1992,228245400,"lowbidgee floodplain",0.45228965680631,-0.16241826101845
1993,122595300,"lowbidgee floodplain",-0.109410606806374,0.45228965680631
1994,53619300,"lowbidgee floodplain",-0.476129023380978,-0.109410606806374
1995,177463800,"lowbidgee floodplain",0.182303749488911,-0.476129023380978
1996,132822000,"lowbidgee floodplain",-0.0550392424074024,0.182303749488911
1997,38809800,"lowbidgee floodplain",-0.55486534311917,-0.0550392424074024
1998,185886900,"lowbidgee floodplain",0.227086078047389,-0.55486534311917
1999,62690400,"lowbidgee floodplain",-0.427901532245077,0.227086078047389
2000,138819600,"lowbidgee floodplain",-0.0231523487741409,-0.427901532245077
2001,34849800,"lowbidgee floodplain",-0.575919114425646,-0.0231523487741409
2002,25749000,"lowbidgee floodplain",-0.624304508846345,-0.575919114425646
2003,46523700,"lowbidgee floodplain",-0.513853553603762,-0.624304508846345
2004,29139300,"lowbidgee floodplain",-0.606279609639188,-0.513853553603762
2005,87094800,"lowbidgee floodplain",-0.2981528816209,-0.606279609639188
2006,20013300,"lowbidgee floodplain",-0.654798982604564,-0.2981528816209
2007,9392400,"lowbidgee floodplain",-0.711266154238136,-0.654798982604564
2008,7339500,"lowbidgee floodplain",-0.722180620681333,-0.711266154238136
2009,13743000,"lowbidgee floodplain",-0.688135715489158,-0.722180620681333
2010,315791100,"lowbidgee floodplain",0.917735905964209,-0.688135715489158
2011,164250900,"lowbidgee floodplain",0.112055927545647,0.917735905964209
2012,133594200,"lowbidgee floodplain",-0.0509337570026397,0.112055927545647
2013,60019200,"lowbidgee floodplain",-0.442103257980899,-0.0509337570026397
2014,74800800,"lowbidgee floodplain",-0.363515271631457,-0.442103257980899
2015,61071300,"lowbidgee floodplain",-0.436509653740611,-0.363515271631457
2016,688885200,"lowbidgee floodplain",2.90133132444784,-0.436509653740611
2017,74242800,"lowbidgee floodplain",-0.36648193940646,2.90133132444784
2018,47659500,"lowbidgee floodplain",-0.507814949197223,-0.36648193940646
2019,35180100,"lowbidgee floodplain",-0.574163038500765,-0.507814949197223
2020,65918700,"lowbidgee floodplain",-0.410737923682276,-0.574163038500765
2021,191115000,"lowbidgee floodplain",0.25488184111996,-0.410737923682276
2022,983376000,"lowbidgee floodplain",4.467023737342,0.25488184111996
2023,123422400,"lowbidgee floodplain",-0.105013239572136,4.467023737342
2024,72632700,"lowbidgee floodplain",-0.375042211421752,-0.105013239572136
1987,70231500,"lake cowal and nerang cowal",-0.214486631226116,NA
1988,40579200,"lake cowal and nerang cowal",-0.720810172139306,-0.214486631226116
1989,94247100,"lake cowal and nerang cowal",0.195588257708462,-0.720810172139306
1990,176046300,"lake cowal and nerang cowal",1.59233861393264,0.195588257708462
1991,123271200,"lake cowal and nerang cowal",0.691185060783385,1.59233861393264
1992,76707000,"lake cowal and nerang cowal",-0.103915171704144,0.691185060783385
1993,150651000,"lake cowal and nerang cowal",1.15870485808393,-0.103915171704144
1994,138619800,"lake cowal and nerang cowal",0.953267850316075,1.15870485808393
1995,96057900,"lake cowal and nerang cowal",0.226508310044558,0.953267850316075
1996,85969800,"lake cowal and nerang cowal",0.0542504240429206,0.226508310044558
1997,43617600,"lake cowal and nerang cowal",-0.668928414342756,0.0542504240429206
1998,103195800,"lake cowal and nerang cowal",0.348390484536394,-0.668928414342756
1999,94357800,"lake cowal and nerang cowal",0.197478499476524,0.348390484536394
2000,87235200,"lake cowal and nerang cowal",0.0758575779119813,0.197478499476524
2001,50270400,"lake cowal and nerang cowal",-0.555329494428036,0.0758575779119813
2002,609300,"lake cowal and nerang cowal",-1.40331039296353,-0.555329494428036
2003,4868100,"lake cowal and nerang cowal",-1.33058987226055,-1.40331039296353
2004,39600,"lake cowal and nerang cowal",-1.41303822255038,-1.33058987226055
2005,18198000,"lake cowal and nerang cowal",-1.10297710131129,-1.41303822255038
2006,135000,"lake cowal and nerang cowal",-1.41140923370961,-1.10297710131129
2007,137700,"lake cowal and nerang cowal",-1.41136313025186,-1.41140923370961
2008,156600,"lake cowal and nerang cowal",-1.41104040604755,-1.41136313025186
2009,6983100,"lake cowal and nerang cowal",-1.29447549701709,-1.41104040604755
2010,96040800,"lake cowal and nerang cowal",0.22621632147876,-1.29447549701709
2011,130137300,"lake cowal and nerang cowal",0.808426153860956,0.22621632147876
